slug,city_name,place_name,country,[city_name_branch_name],[city_name_locale_name],[city_name_region_name],[city_name_phone_number],service_area
calgary,"Calgary, AB","Calgary, AB",CA,[calgaryab_branch_name],[calgaryab_locale_name],[calgaryab_region_name],[calgaryab_phone_number],"Calgary, Edmonton, Grand Prairie, Lethbridge, Red Deer, Ft. McMurray"
saintjohn,"Saint John, New Brunswick","Saint John, New Brunswick",CA,[saintjohnnewbrunswick_branch_name],[saintjohnnewbrunswick_locale_name],[saintjohnnewbrunswick_region_name],[saintjohnnewbrunswick_phone_number],"Edmunston, Grand Falls,Charlottetown, Summerside, Miramchi, Campbellton, Bathurst, Moncton, Saint John, Fredericton"
vancouver,"Vancouver, BC","Vancouver, BC",CA,[vancouverbc_branch_name],[vancouverbc_locale_name],[vancouverbc_region_name],[vancouverbc_phone_number],"Surrey, Langley, Abbotsford, Chiliwack, Maple Ridge, Pitt Meadows, Coquitlam, Kewlona, Kamloops"
toronto,"Toronto, ON","Toronto, ON",CA,[torontoon_branch_name],[torontoon_locale_name],[torontoon_region_name],[torontoon_phone_number],"Toronto, Vaughan, Barrie,Newmarket, Aurora, Sudbury, Northbay, Missasauga, Brampton"
london,"London, ON","London, ON",CA,[londonon_branch_name],[londonon_locale_name],[londonon_region_name],[londonon_phone_number],"London, Hamilton, Kitchener, Warerloo, Brantford, Niagara Falls, St. Catherines, Burlington"
saintjohns,"Saint John's, NL","Saint John's, NL",CA,[saintjohn'snl_branch_name],[saintjohn'snl_locale_name],[saintjohn'snl_region_name],[saintjohn'snl_phone_number],"St. Johns, Gander, Corner Brook, Deer Lake, Grand Falls Windsor, Mount Pearl, CBS, Paradise"
winnipeg,"Winnipeg, MB","Winnipeg, MB",CA,[winnipegmb_branch_name],[winnipegmb_locale_name],[winnipegmb_region_name],[winnipegmb_phone_number],"Winnipeg, Brandon, Saskatoom, Regina"
halifax,"Halifax, NS","Halifax, NS",CA,[halifax_branch_name],[halifaxns_locale_name],[halifaxns_region_name],[halifaxns_phone_number],"Halifax, Dartmouth, Sackville, Bedford, Windsor, Yarmouth, Sydney, New Glascow, Truro, Bridgewater"
chatham,"Chatham, ON","Chatham, ON",CA,[chathamon_branch_name],[chathamon_locale_name],[chathamon_region_name],[chathamon_phone_number],"Chatham, Windsor, Sarnia, London, Chatham-Kent, Leamington, Harrow, Wallaceburg, Port Lambton, Glencoe"
edmonton,"Edmonton, AB","Edmonton, AB",CA,[edmontonab_branch_name],[edmontonab_locale_name],[edmontonab_region_name],[edmontonab_phone_number],"Calgary, Edmonton, Grand Prairie, Lethbridge, Red Deer, Ft. McMurray"
reading,Pottstown,Pottstown,US,[pottstown_branch_name],[pottstown_locale_name],[pottstown_region_name],[pottstown_phone_number],"Reading, Wyomissing, King of Prussia, Phoenixville, Norristown, Pottstown, Chester Springs, Spring City, Kutztown, Collegeville"
reading,Reading,Reading,US,[reading_branch_name],[reading_locale_name],[reading_region_name],[reading_phone_number],"Reading, Wyomissing, King of Prussia, Phoenixville, Norristown, Pottstown, Chester Springs, Spring City, Kutztown, Collegeville"
pottsville,Pottsville,Pottsville,US,[pottsville_branch_name],[pottsville_locale_name],[pottsville_region_name],[pottsville_phone_number],"Pottsville, Lehighton, Jim Thorpe, Orwigsburg, Auburn, Schuylkill Haven, Millersburg, Elizabethville, Pine Grove, Frackville"
york,York,York,US,[york_branch_name],[york_locale_name],[york_region_name],[york_phone_number],"York, Gettysburg, Shrewsbury, Dover, Seven Valleys, Wellville, New Freedom"
allentown,Allentown,Allentown,US,[allentown_branch_name],[allentown_locale_name],[allentown_region_name],[allentown_phone_number],"Allentown, Bethlehem"
stroudsburg,Stroudsburg,Stroudsburg,US,[stroudsburg_branch_name],[stroudsburg_locale_name],[stroudsburg_region_name],[stroudsburg_phone_number],East Stroudsburg
wilkesbarre,Wilkes Barre,Wilkes Barre,US,[wilkesbarre_branch_name],[wilkesbarre_locale_name],[wilkesbarre_region_name],[wilkesbarre_phone_number],"Wilkes Barre, Scranton, Hazelton, Clark's Summit, Moscow, Mountain Top, Dallas"
williamsport,Williamsport,Williamsport,US,[williamsport_branch_name],[williamsport_locale_name],[williamsport_region_name],[williamsport_phone_number],"Williamsport, Corning, Elmira, Sayre, Towanda, Horseheads, Muncy, Lock Haven, Wellsboro, Mansfield, Hugeville"
shamokin,Shamokin,Shamokin,US,[shamokin_branch_name],[shamokin_locale_name],[shamokin_region_name],[shamokin_phone_number],"Shamokin, Selinsgrove, Lewisburg, Bloomsburg, Berwick, Danville,Sunbury, Northumberland, Elysburg, Shamokin Dam"
lewistown,Lewistown,Lewistown,US,[lewistown_branch_name],[lewistown_locale_name],[lewistown_region_name],[lewistown_phone_number],"Lewistown, Huntingdon, Mt. Union, Mifflin, Mifflinburg, Newport"
statecollege,State College,State College,US,[statecollege_branch_name],[statecollege_locale_name],[statecollege_region_name],[statecollege_phone_number],"State College, Bellefonte, Philipsburg, Clearfield, Curwensville, Penns Valley"
johnstown,Johnstown,Johnstown,US,[johnstown_branch_name],[johnstown_locale_name],[johnstown_region_name],[johnstown_phone_number],"Johnstown, Altoona, Bedford, Somerset, Latrobe, Blairsville, Ebensburg"
harrisburg,Harrisburg,Harrisburg,US,[harrisburg_branch_name],[harrisburg_locale_name],[harrisburg_region_name],[harrisburg_phone_number],"Harrisburg, Camp Hill, Mechanicsburg, Carlisle, Shippinsburg, Hershey, Palmyra, Annville, Cleona, Lebanon, Dillsburg"
pittsburgh,Pittsburgh,Pittsburgh,US,[pittsburgh_branch_name],[pittsburgh_locale_name],[pittsburgh_region_name],[pittsburgh_phone_number],"Pittsburgh, Uniontown, Sharon, Mercer, South Hills, Warrendale, Cranberry Township, Washington, New Castle, Mar, Bradford Woods, Upper Saint Clair, Wexford, Venetia, Fox Chapel"
lancaster,Lancaster,Lancaster,US,[lancaster_branch_name],[lancaster_locale_name],[lancaster_region_name],[lancaster_phone_number],"Lancaster, Lititz, Columbia"
clarion,Clarion,Clarion,US,[clarion_branch_name],[clarion_locale_name],[clarion_region_name],[clarion_phone_number],"Clarion, Shippenville, New Bethlehem, Knox, Foxburg, Rimersburg, Strattanville, Hawthorn, St. Petersburg, Brookville, Tionesta"
philadelphia,Philadelphia,Philadelphia,US,[philadelphia_branch_name],[philadelphia_locale_name],[philadelphia_region_name],[philadelphia_phone_number],"Philadelphia, Hatfield"
westchester,West Chester,West Chester,US,[westchester_branch_name],[westchester_locale_name],[westchester_region_name],[westchester_phone_number],"West Chester, Kennett Square, Villanova, Radnor, Ardmore, Swarthmore, Charlestown Township, Wayne, Avondale, Exton"
avenel,Avenel,Avenel,US,[avenel_branch_name],[avenel_locale_name],[avenel_region_name],[avenel_phone_number],"Avenel, Newark, Jersey City, Elizabeth, Linden, Dayon, Woodbridge, New Brunskwick, South Plainfield, Piscataway, Rahway"
vineland,Vineland,Vineland,US,[vineland_branch_name],[vineland_locale_name],[vineland_region_name],[vineland_phone_number],"Vineland, Egg Harbor Township, Glassboro, Vineland, Millville, Atlantic City, Mullica Hill, Cape May, Bridgeton, Hammonton, Manahawkin, Cherry Hill, Haddonfield, Glassboro, Backwood, Trenton, Toms River, Moorsetown, Mount Laurel, Voorhees, Medford"
middletown,Middletown,Middletown,US,[middletown_branch_name],[middletown_locale_name],[middletown_region_name],[middletown_phone_number],"Middletown, Newburgh, Nyack, Wappingers Fall, Fishkill, Pughkeepsie, Saugerties, Kerhonkson, Kingston, Spring Valley"
baltimore,Baltimore,Baltimore,US,[baltimore_branch_name],[baltimore_locale_name],[baltimore_region_name],[baltimore_phone_number],"Hunt Valley, Towson, Reisterstown, Pikesville, Westminster, Middle River, Owings Mills, Parkville"
glenburnie,Glen Burnie,Glen Burnie,US,[glenburnie_branch_name],[glenburnie_locale_name],[glenburnie_region_name],[glenburnie_phone_number],"Millersville, Glen Burnie, Columbia, Laurel, Annapolis, Bowie, Catonsville, Elkridge, Severna Park, Hanover, Lanham"
