slug,city_name,service_area
ft_myers,Fort Myers,"North Port, Naples, Sarasota, Fort Myers, Bradenton, Arcadia, Punta Gorda, Lehigh Acres, Sebring, North Port, Marco Island"
tampa,Tampa,"Tampa, Saint Petersburg, Brandon, Clearwater, Lakeland, Winter Haven, Wesley Chapel, Auburndale, Palm Harbor, Brooksville"
albany,Albany,"Albany, Clifton Park, Ballston Spa, Saratoga, Troy, Schenectady, East Greenbush, Delmar, Latham, Guilderland"
newyorkcity,New York City,"New York City, Brooklyn, Queens, Long Island, The Bronx"
ft_lauderdale,Fort Lauderdale,"Lake Worth, Port Saint Lucie, Fort Lauderdale, Fort Pierce, Stuart, West Palm Beach, Boca Raton, Weston, Jupiter, Palm Beach Gardens, Pompano Beach, Cooper City, Parkland, Coral Springs, Miramar, Hollywood"
cleveland,Cleveland,"Cleveland, Akron, Canton, Avon, Brecksville, Fairlawn, Westlake, Solon, Beachwood, Medina"
orlando,Orlando,"Orlando, Apopka, Oviedo, Leesburg, Kissimmee, Daytona, St. Cloud, Deltona, Clermont"
northboston,North Boston,"Boston, Woburn, Medford, Burlington, Reading, Andover, Wilmington, Waltham, Newton, Needham, Wellesley, Belchertown, Worcester"
beaufort,Beaufort,"Beaufort, Bluffton, Hilton Head, Summerville, Charlestown, Hardeeville, Yemassee, Myrtle Beach, Pawleys Island, Mount Pleasant, Aynor"
miami,Miami,"Miami, Dedley, Doral, Miami Beach, Homestead, Keys, Aventura, Coral Gables, Kendall, Miami Shores"
springfield,Springfield,"Springfield, Alexandria, Arlington, Ashburn, Burke, Fairfax, Fredericksburg, Leesburg, McLean, Reston, Sterling, Stafford"
stafford,Stafford,"Springfield, Alexandria, Arlington, Ashburn, Burke, Fairfax, Fredericksburg, Leesburg, McLean, Reston, Sterling, Stafford"
jacksonville,Pensacola,"Pensacola, Panama City, Tallahassee,Albany, GA"
jacksonville,Jacksonville,"Jacksonville, St. Augustine, Palm Coast, Lake City, Gainesville, Brunswick GA"
lynchburg,Lynchburg,"Lynchburg, Roanoke, Harrisonburg, Blacksburg, Salem, Charlottesville, Christiansburg, Chase City, Clarksville"
richmond,Richmond,"Richmond, Midlothian, Mechanicsville, Glen Allen, Ashland, Fredericksburg, Petersburg, Tuckahoe"
buffalo,Buffalo,"Buffalo, Amherst, Orchard Park, Cheektowaga, Niagara Falls, West Seneca, Tonawanda, Lockport, Grand Island, Williamsville, Wheatfield"
nashville,Nashville,"Nashville, Murfreesboro, Brentwood, Franklin, Hendersonville, Goodlettsville, Cookeville, Lebanon, Mount Juliet, Clarksville"
arundel,Arundel,"Biddeford, Manchester, Porstmouth, Portland, Arundel, Augusta, Lewistown, Kennebunkport, Salem, Nashua, Concord"
cincinnati,Cincinnati,"Cincinnati, Dayton, Hebron, Florence, Vandalia, Batavia"
raleigh,Raleigh,"Raleigh, Durham, Chapel Hill, Wake Forest, Greenville, Goldsboro"
norwalk,Norwalk,"Milford, Norwalk, Hartford, New Haven, Bristol, Stamford, Greenwich, West Hartford, Groton, Middletown"
virginabeach,Virginia Beach,"Virginia Beach, Chesapeake, Suffolk, Norfolk, Hampton, Williamsburg, Newport News, Outer Banks NC, Elizabeth City NC, Camden NC, Hertford NC, Edenton NC"
westvirginia,West Virginia,"West Virginia, Morgantown, Fairmont, Clarksburg, Charleston, Hintington, Beckley, Lewisburg"
burlington,Burlington,"Burlington, Essex Junction, Colchester, Willistown, Essex, Shelburne, Charlotte, St. Albans, Rutland, Newport, Middlebury"
detroit,Detroit,"Rochester Hills, Clawson, Birmingham, Rochester, Sterling Heights, Auburn Hills, Berkley"
lansing,Novi,"Grand Rapids, Ann Arbor, Lansing, Detroit, Novi, Brighton, Troy, Kalamazoo, Flint, Battle Creek "
greensboro,Greensboro,"Greensboro, High Point, Burlington"
wilmington,Wilmington,"Wilmington, Fayetteville, New Burn, Jacksonville, Lumberton, Warsaw, Southport, Dunn, Sanford, Pinehurst "
charlotte,Charlotte,"Charlotte, Concord, Kannapolis, Gastonia, Rock Hill, Indian Trail, Indian Land, Fort Mill, Monroe"
chicago,Chicago,"Naperville, Joliet, Aurora, Elgin, Waukegan, Kenosha WI, Hammond, "
desplaines,Des Plaines,"Park Ridge, Mount Prospect, Niles, Elk Grove Village, Glenview, Schiller Park, Morton Grove"
grandisland,Grand Island,"Kearney, Columbus, Norfolk, Hastings, Central City, "
lincoln,Lincoln,"Fremont, Beatrice, Seward, Hickman, Waverly"
omaha,Omaha,"Papillion, Bellevue, Council Bluffs IA, Green Meadows, Springfield"
siouxcity,Sioux City,"Sioux City, Aberdeen, Brookings, Watertown, Mitchell, Yankton, Huron, Vermillion, Pierre"
denver,Denver,"Boulder, Colorado Springs, Pueblo, Alamosa, Broomfield, Louisville, Evergreen, Conifer, Longmont"
oklahomacity,Oklahoma City,"Tulsa, Lawton, Moore, Clinton, Shawnee, Stillwater, Ardmore, Muskogee, Broken Arrow"
